ID,Icd1,Icd2,DiagnosisText,Comments,Likelihood,Prompt,MuseFlags,CodingFlag,OKForMultipleCodes,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut
25,1B70Z&XA45A6,,Cellulitis Of Leg,,,,,,,2022,2022,13/10/2023,NA,13/12/2023,NA
26,1B70Z&XA45A6,,Cellulitis Of Legs,,,,,,,2022,2022,05/12/2023,NA,13/12/2023,NA
27,1B70Z&XA45A6,,Leg Cellulitis,,,,,,,2022,9999,13/10/2023,NA,,
28,1B70Z&XA45A6,,Lower Limb Cellulitis,,,,,,,2022,9999,13/10/2023,NA,,
29,1B70Z&XK8G&XA45A6,,Cellulitis Left Leg,,,,,,,2022,9999,13/12/2023,NA,,
30,1B70Z&XK8G&XA45A6,,Cellulitis Of Left Leg,,,,,,,2022,2022,13/10/2023,NA,13/12/2023,NA
31,1B70Z&XK8G&XA45A6,,Cellulitis Of The Left Leg,,,,,,,2022,2022,13/10/2023,NA,13/12/2023,NA
32,1B70Z&XK8G&XA45A6,,Left Leg Cellulitis,,,,,,,2022,9999,13/10/2023,NA,,
33,1B70Z&XK9J&XA45A6,,Bilateral Leg Cellulitis,,,,,,,2022,9999,13/10/2023,NA,,
34,1B70Z&XK9J&XA45A6,,Cellulitis Legs,,,,,,,2022,9999,13/12/2023,NA,,
35,1B70Z&XK9J&XA45A6,,Cellulitis Of The Legs,,,,,,,2022,2022,13/10/2023,NA,14/12/2023,NA
36,1B70Z&XK9K&XA45A6,,Cellulitis Of Right Leg,,,,,,,2022,2022,13/10/2023,NA,14/12/2023,NA
37,1B70Z&XK9K&XA45A6,,Cellulitis Right Leg,,,,,,,2022,9999,13/12/2023,NA,,
38,1B70Z&XK9K&XA45A6,,Right Leg Cellulitis,,,,,,,2022,9999,13/10/2023,NA,,
39,1B70Z&XS25,,Severe Cellulitis,,,,,,,2022,9999,13/10/2023,NA,,
40,1B711,,Fournier Gangrene,,,,,,,2022,2022,13/10/2023,NA,02/02/2024,NA
41,1B711&XA75A2,,Fournier Gangrene,,,,,M,1,2022,9999,02/02/2024,NA,,
42,1B711XA2GU7,,Fournier Gangrene,,,,,F,1,2022,9999,02/02/2024,NA,,
43,1B71Z,,Necrotising Fasciitis,,,,,,,2022,9999,13/10/2023,NA,,
44,1C191,,Legionella Pneumonia,,,,,,,2022,9999,13/10/2023,NA,,
45,1C41&XN3NM,,Streptococcal Sepsis,,,,,,,2022,9999,05/12/2023,NA,,
46,1C41&XN5PZ,,Gram Negative Sepsis,,,,,,,2022,9999,13/10/2023,NA,,
47,1C41&XN6BM,1G40,Staphylococcus Aureus Sepsis,,,,,,,2022,9999,05/12/2023,NA,,
48,1C41&XN6LP,1G40,Group A Streptococcal Sepsis,,,,,,,2022,9999,20/12/2023,NA,,
49,1C41&XN6LP,1G40,Group A Streptococcus Sepsis,,,,,,,2022,9999,25/07/2024,NA,,
50,1C41&XN6LP,,Group A Streptococcal Sepsis,,,,,,,2022,2022,13/10/2023,NA,20/12/2023,NA
51,1C41&XN6P4,1G40,E Coli Sepsis,,,,,,,2022,9999,20/12/2023,NA,,
52,1C41&XN6P4,,E Coli Infection,,,,,,,2022,9999,25/07/2024,NA,,
53,1C41&XN6P4,,E Coli Sepsis,,,,,,,2022,2022,13/10/2023,NA,20/12/2023,NA
54,1C41&XN9ZG,1G40,Staphylococcal Sepsis,,,,,,,2022,9999,20/12/2023,NA,,
55,1C41&XN9ZG,,Staphylococcal Sepsis,,,,,,,2022,2022,05/12/2023,NA,20/12/2023,NA
56,1C623,,Acquired Immune Deficiency Syndrome,,,,,,,2022,2022,13/10/2023,NA,05/02/2024,NA
57,1C623,,Acquired Immunodeficiency Syndrome,,,,,,,2022,2022,06/12/2023,NA,05/02/2024,NA
58,1C623,,Aids,,,,,,,2022,2022,13/10/2023,NA,05/02/2024,NA
59,1C623Z,,Acquired Immune Deficiency Syndrome,,,,,,,2022,9999,05/02/2024,NA,,
60,1C623Z,,Acquired Immunodeficiency Syndrome,,,,,,,2022,9999,05/02/2024,NA,,
61,1C623Z,,AIDS,,,,,,,2022,9999,05/02/2024,NA,,
62,1C62Z,,HIV,,,,,,,2022,9999,13/10/2023,NA,,
63,1C62Z,,HIV Infection,,,,,,,2022,9999,13/10/2023,NA,,
64,1C62Z,,Human Immunodeficiency Virus,,,,,,,2022,9999,13/10/2023,NA,,
65,1C62Z,,Human Immunodeficiency Virus Infection,,,,,,,2022,9999,13/10/2023,NA,,
66,1C62Z,,Human Immunodeficiency Virus Positive,,,,,,,2022,9999,13/10/2023,NA,,
67,1C80,,Acute Infective Encephalitis,,,,,,,2022,9999,05/08/2024,NA,,
68,1C80,,Viral Encephalitis,,,,,,,2022,9999,13/10/2023,NA,,
69,1D00Z,,Encephalitis,,,,,,,2022,9999,13/10/2023,NA,,
70,1D010Z,,Bacterial Meningitis,,,,,,,2022,9999,13/10/2023,NA,,
71,1D01Y,,Meningoencephalitis,,,,,,,2022,9999,13/10/2023,NA,,
72,1D01Z,,Meningitis,,,,,,,2022,9999,13/10/2023,NA,,
73,1D033Z,,Cerebral Abscess,,,,,,,2022,9999,15/10/2023,NA,,
74,1D9Y&XN275,,Respiratory Syncytial Virus,,,,,,,2022,9999,25/07/2024,NA,,
3216,1D9Y&XN275,,Respiratory Syncytial Virus Infection ,,,,,,,2022,9999,07/03/2025,NA,,
75,1D9Y&XN6CR,,Parainfluenza Infection,,,,,,,2022,9999,13/10/2023,NA,,
76,1D9Y&XN6CR,,Parainfluenza Virus Infection,,,,,,,2022,9999,13/10/2023,NA,,
77,1D9Z&XN275,,Respiratory Syncytial Virus,,,,,,,2022,2022,01/03/2024,NA,25/07/2024,NA
78,1E30&XN8SG,,Influenza B,,,,,,,2022,9999,13/10/2023,NA,,
79,1E30&XN8SG,,Influenza B Infection,,,,,,,2022,9999,13/10/2023,NA,,
80,1E30&XN8WJ,CA401Y,Influenza A Pneumonia,,,,,,,2022,9999,02/10/2024,NA,,
3217,1E30&XN8WJ,CA401Y,Influenza A Pneumonitis ,,,,,,,2022,9999,07/03/2025,NA,,
4359,1E30&XN8WJ,,Flu A ,,,,,,,2022,9999,28/03/2025,NA,,
4360,1E30&XN8WJ,,Influenza - A ,,,,,,,2022,9999,28/03/2025,NA,,
81,1E30&XN8WJ,,Influenza A,,,,,,,2022,9999,13/10/2023,NA,,
82,1E30&XN8WJ,,Influenza A Infection,,,,,,,2022,2022,13/10/2023,NA,26/02/2025,NA
83,1E30&XN8WJ,,Influenza A Infection,,,,,,,2022,9999,13/10/2023,NA,,
84,1E30&XN8WJ,,Influenza Type A,,,,,,,2022,9999,13/10/2023,NA,,
3218,1E32,CA401Z,Influenza Pneumonitis ,,,,,,,2022,9999,07/03/2025,NA,,
85,1E32,CA40Z,Influenza Pneumonia,,,,,,,2022,9999,20/02/2024,NA,,
4394,1E32,CA40Z&XA61M6,Influenza Bronchopneumonia ,,,,,,,2022,9999,04/04/2025,NA,,
86,1E32,,Influenza,,,,,,,2022,9999,13/10/2023,NA,,
3245,1E32,,Influenza Infection ,,,,,,,2022,9999,14/03/2025,NA,,
3219,1E32&XB22,CA401Z,Influenza Community Acquired Pneumonia ,,,,,,,2022,9999,07/03/2025,NA,,
87,1E510Y,DB931,Decompensated Hepatitis B Cirrhosis,,,,,,,2022,9999,05/08/2024,NA,,
88,1E510Z,,Chronic Hepatitis B,,,,,,,2022,9999,13/10/2023,NA,,
89,1E510Z,,Chronic Hepatitis B Infection,,,,,,,2022,9999,13/11/2023,NA,,
90,1E510Z,,Hepatitis B,,,,,,,2022,9999,13/10/2023,NA,,
91,1E510Z,,Hepatitis B Infection,,,,,,,2022,9999,13/11/2023,NA,,
92,1E511,,Chronic Hepatitis C,,,,,,,2022,9999,13/11/2023,NA,,
93,1E511,,Chronic Hepatitis C Infection,,,,,,,2022,9999,13/11/2023,NA,,
94,1E511,,Hepatitis C,,,,,,,2022,9999,13/10/2023,NA,,
95,1E511,,Hepatitis C Infection,,,,,,,2022,9999,13/10/2023,NA,,
96,1E91Z,,Herpes Zoster,,,,,,,2022,9999,13/10/2023,NA,,
97,1E91Z,,Shingles,,,,,,,2022,9999,13/10/2023,NA,,
98,1F0021,,Herpes Simplex Encephalitis,,,,,,,2022,9999,13/10/2023,NA,,
99,1F200Z,,Invasive Aspergillosis,,,,,,,2022,9999,21/11/2023,NA,,
100,1F2012,,Chronic Pulmonary Aspergillosis,,,,,,,2022,9999,13/10/2023,NA,,
101,1F20Z,,Aspergilloma,,,,,,,2022,9999,13/10/2023,NA,,
102,1F20Z,,Aspergillosis,,,,,,,2022,9999,13/10/2023,NA,,
103,1G40,,Generalised Sepsis,,,,,,,2022,9999,13/10/2023,NA,,
104,1G40,,Intra Abdominal Sepsis,,,,,,,2022,2022,13/10/2023,NA,20/09/2024,NA
105,1G40,,Intra-Abdominal Sepsis,,,,,,,2022,2022,13/10/2023,NA,20/09/2024,NA
106,1G40,,Sepsis,,,,,,,2022,9999,13/10/2023,NA,,
107,1G40,,Sepsis (Unknown Source),,,,,,,2022,2022,09/11/2023,NA,14/03/2025,NA
108,1G40,,Sepsis Of Uncertain Aetiology,,,,,,,2022,2022,13/10/2023,NA,14/12/2023,NA
109,1G40,,Sepsis Of Uncertain Origin,,,,,,,2022,2022,13/10/2023,NA,14/12/2023,NA
110,1G40,,Sepsis Of Unclear Aetiology,,,,,,,2022,2022,13/10/2023,NA,14/12/2023,NA
111,1G40,,Sepsis Of Unclear Origin,,,,,,,2022,2022,24/10/2023,NA,14/12/2023,NA
112,1G40,,Sepsis Of Unknown Aetiology,,,,,,,2022,2022,09/11/2023,NA,14/12/2023,NA
113,1G40,,Sepsis Of Unknown Cause,,,,,,,2022,2022,13/10/2023,NA,14/12/2023,NA
114,1G40,,Sepsis Of Unknown Origin,,,,,,,2022,2022,13/10/2023,NA,14/12/2023,NA
115,1G40,,Sepsis Of Unknown Source,,,,,,,2022,2022,13/10/2023,NA,14/12/2023,NA
116,1G40,,Sepsis Uncertain Aetiology,,,,,,,2022,9999,14/12/2023,NA,,
117,1G40,,Sepsis Uncertain Origin,,,,,,,2022,9999,14/12/2023,NA,,
118,1G40,,Sepsis Unclear Aetiology,,,,,,,2022,9999,14/12/2023,NA,,
119,1G40,,Sepsis Unclear Origin,,,,,,,2022,9999,14/12/2023,NA,,
120,1G40,,Sepsis Unknown Aetiology,,,,,,,2022,9999,13/10/2023,NA,,
121,1G40,,Sepsis Unknown Cause,,,,,,,2022,9999,14/12/2023,NA,,
122,1G40,,Sepsis Unknown Origin,,,,,,,2022,9999,13/10/2023,NA,,
123,1G40,,Sepsis Unknown Source,,,,,,,2022,9999,13/10/2023,NA,,
124,1G40,,Systemic Sepsis,,,,,,,2022,9999,13/10/2023,NA,,
125,1G40&XA6GV0,,Abdominal Sepsis,,,,,,,2022,9999,31/01/2024,NA,,
126,1G40&XA6GV0,,Intra Abdominal Sepsis,,,,,,,2022,9999,20/09/2024,NA,,
3208,1G40&XA6GV0,,Intra-Abdominal Sepsis,,,,,,,2022,9999,20/02/2025,NA,,
127,1G40&XS25,,Severe Sepsis,,,,,,,2022,9999,05/02/2024,NA,,
128,1G41,,Septic Shock,,,,,,,2022,9999,13/10/2023,NA,,
129,1G83,,Polio,,?,"Polio eradicated in UK, use sequalae code 1G83 unless text indicates current condition 1C81",,,,2022,9999,02/02/2024,NA,,
130,1G83,,Polio,,,,,,,2022,2022,13/10/2023,NA,02/02/2024,NA
131,1H0Z,,Abdominal Sepsis,,,,,,,2022,2022,13/10/2023,NA,31/01/2024,NA
132,1H0Z,,Infection,,,,,,,2022,9999,25/07/2024,NA,,
133,1H0Z,,Infection Of Unknown Source,,,,,,,2022,2022,01/12/2023,NA,14/12/2023,NA
3246,1H0Z,,Infection Unknown Origin ,,,,,,,2022,9999,14/03/2025,NA,,
134,1H0Z,,Infection Unknown Source,,,,,,,2022,9999,14/12/2023,NA,,
135,1H0Z,,Severe Sepsis,,,,,,,2022,2022,13/10/2023,NA,05/02/2024,NA
3108,1H0Z&XB5F,,Infection Unknown Aetiology,,,,,,,2022,9999,04/02/2025,NA,,
136,2A0000,,Glioblastoma,,,,P,,,2022,9999,03/04/2024,NA,,
137,2A0000,,Glioblastoma Brain,,,,P,,,2022,9999,02/10/2024,NA,,
138,2A0000,,Glioblastoma Multiforme,,,,P,,,2022,9999,03/04/2024,NA,,
139,2A0000,,Glioblastoma Multiforme Brain,,,,P,,,2022,9999,13/10/2023,NA,,
140,2A0000&XA1M33,,Cerebral Glioblastoma,,,,P,,,2022,9999,19/03/2024,NA,,
141,2A0000&XA1M33(P),,Cerebral Glioblastoma,,,,,,,2022,2022,28/02/2024,NA,19/03/2024,NA
3247,2A0000&XS7M,,Grade 4 Glioblastoma ,,,,,,,2022,9999,14/03/2025,NA,,
142,2A0000(P),,Glioblastoma,,,,,,,2022,2022,13/10/2023,NA,03/04/2024,NA
143,2A0000(P),,Glioblastoma Multiforme,,,,,,,2022,2022,13/10/2023,NA,03/04/2024,NA
144,2A0000(P),,Glioblastoma Multiforme Of Brain,,,,,,,2022,2022,05/12/2023,NA,14/12/2023,NA
145,2A000Y,,Astrocytoma,,,,P,,,2022,9999,03/04/2024,NA,,
146,2A000Y,,Astrocytoma Brain,,,,,,,2022,2022,14/12/2023,NA,20/03/2024,NA
147,2A000Y,,Astrocytoma Of Brain,,,,,,,2022,2022,14/11/2023,NA,14/12/2023,NA
148,2A000Y,,Astrocytoma Of The Brain,,,,,,,2022,2022,14/11/2023,NA,14/12/2023,NA
149,2A000Y&XH7W59,,Oligodendroglioma,,,,,,,2022,2022,07/08/2024,NA,20/09/2024,NA
150,2A000Y&XH7W59,,Oligodendroglioma,,,,P,,,2022,9999,20/09/2024,NA,,
151,2A000Y(P),,Astrocytoma,,,,,,,2022,2022,19/10/2023,NA,03/04/2024,NA
152,2A000YXH6PH6,,Astrocytoma Brain,,,,P,,,2022,9999,03/04/2024,NA,,
153,2A000YXH6PH6(P),,Astrocytoma Brain,,,,,,,2022,2022,20/03/2024,NA,03/04/2024,NA
154,2A000Z,,Glioma,,,,P,,,2022,9999,03/04/2024,NA,,
155,2A000Z,,Malignant Glioma,,,,P,,,2022,9999,03/04/2024,NA,,
156,2A000Z,,Malignant Glioma Brain,,,,P,,,2022,9999,03/04/2024,NA,,
157,2A000Z,,Malignant Glioma Of Brain,,,,,,,2022,2022,28/11/2023,NA,14/12/2023,NA
158,2A000Z&XA1M33,,Cerebral Glioma,,,,P,,,2022,9999,03/04/2024,NA,,
159,2A000Z&XA1M33(P),,Cerebral Glioma,,,,,,,2022,2022,13/10/2023,NA,03/04/2024,NA
160,2A000Z&XS7Z,,High Grade Glioma,,,,P,,,2022,9999,03/04/2024,NA,,
161,2A000Z&XS7Z(P),,High Grade Glioma,,,,,,,2022,2022,27/11/2023,NA,03/04/2024,NA
162,2A000Z(P),,Glioma,,,,,,,2022,2022,13/10/2023,NA,03/04/2024,NA
163,2A000Z(P),,Malignant Glioma,,,,,,,2022,2022,21/02/2024,NA,03/04/2024,NA
164,2A000Z(P),,Malignant Glioma Brain,,,,,,,2022,2022,14/12/2023,NA,03/04/2024,NA
165,2A0010,,Medulloblastoma,,,,,,,2022,2022,13/08/2024,NA,20/09/2024,NA
166,2A0010,,Medulloblastoma,,,,P,,,2022,9999,20/09/2024,NA,,
167,2A005,,Brain Tumour,,,,,,,2022,9999,28/11/2023,NA,,
168,2A005,,Malignant Brain Tumour,,,,,,,2022,9999,28/11/2023,NA,,
169,2A005,,Malignant Neoplasm Brain,,,,,,,2022,9999,14/12/2023,NA,,
170,2A005,,Malignant Neoplasm Of Brain,,,,,,,2022,2022,05/12/2023,NA,14/12/2023,NA
171,2A005,,Primary Brain Malignancy,,,,P,,,2022,9999,05/08/2024,NA,,
172,2A010Z,,Meningioma,,,,,,,2022,9999,13/10/2023,NA,,
173,2A010Z&XA6HA2,,Cerebral Meningioma,,,,,,,2022,9999,07/08/2024,NA,,
174,2A023,,Vestibular Schwannoma,,,,,,,2022,9999,13/10/2023,NA,,
175,2A202,,Myelofibrosis,,,,,,,2022,9999,13/10/2023,NA,,
176,2A202,,Primary Myelofibrosis,,,,,,,2022,9999,13/10/2023,NA,,
177,2A204,2A202,Polycythaemia Vera Myelofibrosis,,,,,,,2022,9999,05/08/2024,NA,,
178,2A204,,Polycythaemia Rubra Vera,,,,,,,2022,9999,13/10/2023,NA,,
179,2A204,,Polycythaemia Rubra Vera,,,,,,,2022,2022,14/08/2024,NA,04/02/2025,NA
180,2A204,,Polycythaemia Vera,,,,,,,2022,9999,13/10/2023,NA,,
181,2A22,,Myeloproliferative Disease,,,,,,,2022,2022,13/10/2023,NA,17/02/2025,NA
182,2A22,,Myeloproliferative Disorder,,,,,,,2022,2022,13/10/2023,NA,17/02/2025,NA
4421,2A2Z,,Myeloproliferative Disease,,,,,,,2022,9999,17/02/2025,NA,,
4422,2A2Z,,Myeloproliferative Disorder,,,,,,,2022,9999,17/02/2025,NA,,
3162,2A2Z,,Myeloproliferative Neoplasm,,,,,,,2022,9999,11/02/2025,NA,,
183,2A3Z,,Myelodysplasia,,,,,,,2022,9999,13/10/2023,NA,,
184,2A3Z,,Myelodysplastic Syndrome,,,,,,,2022,9999,13/10/2023,NA,,
185,2A40,,Chronic Myelomonocytic Leukaemia,,,,,,,2022,9999,08/11/2023,NA,,
186,2A600,,Acute Promyelocytic Leukaemia,,,,,,,2022,9999,21/02/2024,NA,,
187,2A603Z,,Acute Myeloblastic Leukaemia,,,,,,,2022,9999,22/02/2024,NA,,
188,2A603Z,,Acute Myeloid Leukaemia,,,,,,,2022,9999,13/10/2023,NA,,
3220,2A603Z&XT4D,,Relapsed Acute Myeloid Leukaemia ,,,,,,,2022,9999,07/03/2025,NA,,
189,2A80Z,,Follicular Lymphoma,,,,,,,2022,9999,08/11/2023,NA,,
4361,2A80Z&XH50P3,,Follicular Non-Hodgkin Lymphoma ,,,,,,,2022,9999,28/03/2025,NA,,
190,2A81Y,,Cutaneous B Cell Lymphoma,,,,,,,2022,9999,09/08/2024,NA,,
191,2A81Z,,Diffuse Large B-Cell Lymphoma,,,,,,,2022,9999,02/11/2023,NA,,
4395,2A81Z&XT4D,,Relapsed Diffuse Large B-Cell Lymphoma ,,,,,,,2022,9999,04/04/2025,NA,,
3157,2A8200,,Chronic Lymphatic Leukaemia,,,,,,,2022,9999,11/02/2025,NA,,
192,2A820Z,,Chronic Lymphocytic Leukaemia,,,,,,,2022,9999,07/11/2023,NA,,
193,2A820Z,,Chronic Lymphoid Leukaemia,,,,,,,2022,9999,08/01/2024,NA,,
4362,2A822,,Hairy Cell Leukaemia ,,,,,,,2022,9999,28/03/2025,NA,,
194,2A830,,MGUS,,,,,,,2022,9999,13/10/2023,NA,,
195,2A830,,Monoclonal Gammopathy Of Undetermined Significance,,,,,,,2022,2022,21/11/2023,NA,14/12/2023,NA
3165,2A830,,Monoclonal Gammopathy Uncertain Significance,,,,,,,2022,9999,18/02/2025,NA,,
196,2A830,,Monoclonal Gammopathy Undetermined Significance,,,,,,,2022,9999,14/12/2023,NA,,
197,2A830,,Monoclonal Gammopathy Unknown Significance,,,,,,,2022,9999,13/10/2023,NA,,
198,2A830,,Paraproteinaemia,,,,,,,2022,9999,13/10/2023,NA,,
199,2A831,,End Stage Multiple Myeloma,,,,P,,,2022,9999,20/09/2024,NA,,
200,2A831,,Multiple Myeloma,,,,,,,2022,9999,02/11/2023,NA,,
201,2A831,,Myeloma,,,,,,,2022,9999,02/11/2023,NA,,
202,2A831&XS9R,,End Stage Multiple Myeloma,,,,,,,2022,2022,05/08/2024,NA,20/09/2024,NA
3166,2A831&XS9R,,Metastatic Myeloma,,,,,,,2022,9999,18/02/2025,NA,,
203,2A834,,Plasma Cell Leukaemia,,,,,,,2022,9999,05/12/2023,NA,,
3131,2A854,,Lymphoplasmacytic Lymphoma,,,,,,,2022,9999,05/02/2025,NA,,
204,2A854,,Waldenstrom Macroglobulinaemia,,,,,,,2022,9999,13/10/2023,NA,,
205,2A855,,Mantle Cell Lymphoma,,,,,,,2022,9999,07/11/2023,NA,,
206,2A856,,Burkitt Lymphoma,,,,,,,2022,9999,13/10/2023,NA,,
207,2A860,,B Cell Lymphoma,,,,,,,2022,9999,13/10/2023,NA,,
208,2A860,,B-Cell Lymphoma,,,,,,,2022,9999,13/10/2023,NA,,
4363,2A860&XH50P3,,B-Cell Non-Hodgkin Lymphoma ,,,,,,,2022,9999,28/03/2025,NA,,
209,2A860&XS7Z,,High Grade B-Cell Lymphoma,,,,,,,2022,9999,28/11/2023,NA,,
4364,2A8Z&XH5FJ5&XA3JU6,,Primary Central Nervous System Lymphoma ,,,,,,,2022,9999,28/03/2025,NA,,
210,2A905,,Adult T Cell Lymphoma,,,,,,,2022,2022,06/08/2024,NA,25/02/2025,NA
2347,2A905,,Adult T-Cell Lymphoma,,,,,,,2022,9999,25/02/2025,NA,,
211,2B30Z,,Hodgkin Disease,,,,,,,2022,9999,13/10/2023,NA,,
212,2B30Z,,Hodgkin Lymphoma,,,,,,,2022,9999,08/11/2023,NA,,
213,2B32Z,,Post Transplant Lymphoproliferative Disorder,,,,,,,2022,9999,13/10/2023,NA,,
3153,2B330,,Acute Leukaemia,,,,,,,2022,9999,11/02/2025,NA,,
214,2B331,,Myeloid Leukaemia,,,,,,,2022,9999,06/12/2023,NA,,
215,2B332,,Chronic Myeloid Leukaemia,,,,,,,2022,9999,07/11/2023,NA,,
216,2B333,,Acute Lymphoblastic Leukaemia,,,,,,,2022,9999,05/12/2023,NA,,
217,2B334,,Leukaemia,,,,,,,2022,9999,29/11/2023,NA,,
218,2B335,,Advanced Lymphoma,,,,,,,2022,9999,13/10/2023,NA,,
219,2B335,,Lymphoma,,,,,,,2022,9999,13/10/2023,NA,,
220,2B335,,Malignant Lymphoma,,,,,,,2022,9999,02/02/2024,NA,,
221,2B335,,Non Hodgkin Lymphoma,,,,,,,2022,9999,13/10/2023,NA,,
222,2B335,,Non-Hodgkin Lymphoma,,,,,,,2022,9999,13/10/2023,NA,,
223,2B335&XA1M33,,Cerebral Lymphoma,,,,,,,2022,9999,13/10/2023,NA,,
3167,2B335&XA3JU6,,Central Nervous System Lymphoma,,,,,,,2022,9999,18/02/2025,NA,,
224,2B335&XS7Z,,High Grade Lymphoma,,,,,,,2022,9999,29/11/2023,NA,,
4396,2B33Y,,Haematological Malignancy ,,,,,,,2022,9999,04/04/2025,NA,,
225,2B3Z&XH2LK2,,Lymphoproliferative Disease,,,,,,,2022,9999,05/08/2024,NA,,
226,2B3Z&XH2LK2,,Lymphoproliferative Disorder,,,,,,,2022,9999,16/02/2024,NA,,
227,2B56Z,,Angiosarcoma,,,,P,,,2022,9999,03/04/2024,NA,,
228,2B56Z(P),,Angiosarcoma,,,,,,,2022,2022,13/10/2023,NA,03/04/2024,NA
229,2B580&XA6S21,,Retroperitoneal Leiomyosarcoma,,,,P,,,2022,9999,19/03/2024,NA,,
230,2B580&XA6S21(P),,Retroperitoneal Leiomyosarcoma,,,,,,,2022,2022,12/03/2024,NA,19/03/2024,NA
4365,2B581&XS9R,,Metastatic Uterine Leiomyosarcoma ,,,,,,,2022,9999,28/03/2025,NA,,
231,2B58Z&XS9R,,Metastatic Leiomyosarcoma,,,,,,,2022,9999,19/02/2024,NA,,
232,2B5BZ,,Gastrointestinal Stromal Tumour,,,,,,,2022,9999,29/11/2023,NA,,
233,2B5BZ&XS9R,,Metastatic Gastrointestinal Stromal Tumour,,,,,,,2022,9999,05/02/2024,NA,,
234,2B5F0,,Sarcoma Uterus,,,,P,,,2022,9999,19/03/2024,NA,,
235,2B5F0(P),,Sarcoma Uterus,,,,,,,2022,2022,05/03/2024,NA,19/03/2024,NA
2757,2B5F1Z&XA6S21,,Retroperitoneal Sarcoma,,,,,,,2022,9999,20/01/2025,NA,,
236,2B5F3,,Sarcoma,,,,,,,2022,9999,08/03/2024,NA,,
237,2B5F3&XS9R,,Metastatic Sarcoma,,,,,,,2022,9999,02/02/2024,NA,,
238,2B610,,Base of Tongue Squamous Cell Carcinoma,,,,,,,2022,9999,07/08/2024,NA,,
239,2B620,,Squamous Cell Carcinoma Of The Tongue,,,,,,,2022,2022,28/11/2023,NA,14/12/2023,NA
240,2B620,,Squamous Cell Carcinoma Of Tongue,,,,,,,2022,2022,28/11/2023,NA,14/12/2023,NA
241,2B620,,Squamous Cell Carcinoma Tongue,,,,,,,2022,9999,14/12/2023,NA,,
242,2B620&XS9R,,Metastatic Squamous Cell Carcinoma Tongue,,,,,,,2022,9999,26/01/2024,NA,,
243,2B62Y&XH63D2,,Carcinoma Tongue,,,,,,,2022,9999,08/03/2024,NA,,
244,2B62Z,,Previous Tongue Cancer,,,,,,,2022,2022,07/08/2024,NA,23/09/2024,NA
245,2B651,,Squamous Cell Carcinoma Palate,,,,,,,2022,9999,05/08/2024,NA,,
246,2B651&XA8HL5,,Squamous Carcinoma of Soft Palate,,,,,,,2022,9999,05/08/2024,NA,,
247,2B65Y&XA8HL5&XH63D2,,Carcinoma Soft Palate,,,,,,,2022,9999,28/02/2024,NA,,
248,2B65Z,,Malignant Neoplasm of Palate,,,,,,,2022,9999,07/08/2024,NA,,
249,2B660,,Squamous Cell Carcinoma Mouth,,,,,,,2022,9999,17/09/2024,NA,,
